;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupe LinkedIn;;;Il y a un engagement pour que les tiers obtiennent le consentement préalable de l’utilisateur s’il associe les données personnelles obtenues avec celles qu’il obtient. Permet de vérifier ses conditions. Mais aucun engagement sur la viralité.;;;;;;;;;;;;;;;;;;;;;;;;;;
Tumblr;;" Les données recueillies ne sont jamais divulguées à moins que l'utilisateur ait donné son accord. Tumblr prévient préalablement l'utilisateur si une information est susceptible d'être partagée, et avec qui.

Ayant été racheté par Yahoo, les informations reçues par Tumblr peuvent lui être transmises, ceci dans un but d'améliorer les services proposés. Pour avoir plus d'informations, se référer à la CGU de Yahoo.";;;;;;;;;;;;;;;;;;;;;;;;;;;
MEDIUM;;Les informations collectées par Medium sont utilisées pour améliorer le service et les contenus ainsi que prévenir les éventuels abus. Il est écrit dans les CGU que Medium garantit le plus haut niveau de protection pour les données personnelles et prévoit le partage de ces données que dans deux cas limités : avec le consentement de l'utilisateur ou dans le cas où une procédure légale telle qu'une réquisition judiciaire l'obligerait.     ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Couchsurfing;;;"""These third parties may have separate and independent privacy policies. We therefore have no responsibility or liability for the activities of these third parties and how they collect, use or share information about you. Nonetheless, we seek to protect the integrity of our Services and welcome any feedback about these third parties.""";;;;;;;;;;;;;;;;;;;;;;;;;;
Blablacar;;;"Pas de réel engagement si ce n'est : 

""Conforme?ment a? la loi n°78-17 du 6 janvier 1978, vous disposez du droit de vous opposer sans frais et gratuitement, a? ce que les donne?es personnelles vous concernant soient utilise?es a? des fins de prospection, notamment commerciale, par Comuto ou par ses partenaires commerciaux. Si votre droit d'opposition est exerce? pour ce motif directement aupre?s de Comuto, cette dernie?re s'engage a? re?percuter votre opposition aupre?s de ses partenaires contractuels auxquels elle aurait e?ventuellement transmis vos donne?es personnelles.
Conforme?ment a? la loi n°78-17 du 6 janvier 1978, Comuto s'engage a? ce que les donne?es personnelles vous concernant, me?me celles transmises a? d'e?ventuels partenaires commerciaux, ne soient pas transmises hors de l'Union Europe?enne, sauf a? recueillir au pre?alable votre consentement expre?s en ce sens.""";;;;;;;;;;;;;;;;;;;;;;;;;;
Steam;;;« Les sites Web et entreprises externes offrant des liens vers ou depuis les produits et sites en ligne de Valve peuvent collecter les informations personnelles des utilisateurs. Les éditeurs tiers peuvent également faire de la collecte des informations personnelles une obligation pour accéder à leurs jeux ou contenus. La politique de protection de la vie privée de Valve ne s'étend pas à ces sites Web et entreprises externes ou éditeurs tiers. Veuillez contacter directement lesdits sites Web et entreprises pour connaître leur politique de protection de la vie privée. »;;;;;;;;;;;;;;;;;;;;;;;;;;
Viber;;;"Viber prévoit dans ses conditions que des informations personnelles peuvent être transmises à « fournisseurs des tiers de confiance » pour l’envoi d’un SMS ou un appel de confirmation : dans ce cas le tiers est obligé, par contrat, d’utiliser le numéro de téléphone du client uniquement pour procéder à l’appel d’authentification/envoi du SMS.  

Pour les fournisseurs qui traitent les informations de paiement, Viber exige d’eux « qu'ils prennent des mesures techniques et organisationnelles adaptées pour protéger vos données personnelles et de trafic et pour respecter les réglementations, mais nous ne sommes pas responsables de ces transactions tierces parties. Par conséquent, vous devez lire attentivement les termes et conditions de ces fournisseurs avant de fournir vos informations de paiement ou de facturation ».
Idem pour le service Viber Out";;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;"(Dans data policy)    ""Nous partageons des informations avec les fournisseurs, prestataires de
service et autres partenaires […]

Ces partenaires doivent adhérer aux obligations de confidentialité les plus
strictes en accord avec la présente Politique d'utilisation des données et les
accords que nous avons
signés avec eux""";;;;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;;« Nous sommes susceptibles de communiquer vos informations personnelles à ces tierces parties, uniquement dans la mesure où cela est nécessaire à l’exécution de ces opérations et à la fourniture de ces prestations de services et seulement en vertu des obligations incluant les protections prévues dans la présente politique de confidentialité. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skype;« En pareils cas, ces sociétés sont tenues de respecter vos exigences de confidentialité des données et n'ont pas l'autorisation d'utiliser ces informations à d'autres fins. Nous pouvons également transférer vos données à Microsoft Corporation, qui peut les utiliser à des fins compatibles avec celles décrites dans cette politique de confidentialité. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Google ;;Nous transmettons des données personnelles à nos filiales ou autres sociétés ou personnes de confiance qui les traitent pour notre compte, selon nos instructions, conformément aux présentes Règles de confidentialité et dans le respect de toute autre mesure appropriée de sécurité et de confidentialité;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;;"Les tiers devront respecter des exigences raisonnables en matière de confidentialité.
Les dispositions en la matière semblent peu claires, et il n y est pas toujours fait référence, notamment pour les informations d’identification telles que les cookies.";;;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;;"""Blizzard met un point d’honneur à protéger les données que vous lui envoyez (…) nous ferons tout notre possible pour nous assurer que les parties tierces à qui sont envoyées les informations garantissent un niveau de sécurité adapté"" ""(…) nous ferons de notre mieux pour que les tiers à qui nous transmettrons éventuellement des informations fournissent des garanties de sécurité suffisantes sur les informations personnelles »

Ici, comme pour Instragram, les dispositions sont floues.";;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;;"« Online advertisers typically use third party companies to audit the delivery and performance of their ads on websites and apps. We also allow these companies to collect this information on Pinterest. To learn more, please see
our Help Center. »";;;;;;;;;;;;;;;;;;;;;;;;;;;
Dofus-Ankama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec;La transmission de ces donne?es au sous traitant du Site situe? en dehors de l’Union Europe?enne n’est destine?e qu’au traitement des questions ge?ne?rales pouvant e?tre pose?es par les Utilisateurs (date de souscription ou de cre?ation du profil, date de paiement de l’abonnement, date de renouvellement et montants re?gle?s ou rembourse?s) et a? veiller au respect, par les membres du Site, de la le?gislation et des pre?sentes CGU.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Information préalable pour la communication des données personnelles à des tiers en cas de fusion;Collecte opt-in préalable à la fusion;Information préalable pour opt-out cas de fusion;Pas d’information préalable transmission en cas de fusion;;;;;;;;;;;;;;;;;;;;;;;;;;
Vine;;;En cas de faillite, de fusion, d'acquisition, de réorganisation, ou de vente de parts, Vine peut vendre ou transférer nos informations lors d'une transaction. Les engagements de la politique de confidentialité s'appliqueront toutefois à nos données transferées.;;;;;;;;;;;;;;;;;;;;;;;;;;
Whatsapp;-;-;"In the event that WhatsApp is acquired by or merged with a third party entity, we reserve the right to transfer or assign the information we have collected from our users as part of such merger, acquisition, sale, or other change of control. In the (hopefully) unlikely event of our bankruptcy, insolvency, reorganization, receivership, or assignment for the benefit of creditors, or the application of laws or equitable principles affecting creditors' rights generally, we may not be able to control how your personal information is treated, transferred, or used.
Dans le cas où WhatsApp est racheté ou fusionne avec une entité tierce partie, nous nous réservons le droit de transférer ou de céder les informations que nous avons recueillies auprès de nos utilisateurs dans le cadre de cette fusion, acquisition, vente, ou de changement de contrôle. Dans le cas peu probable de notre faillite, d'insolvabilité, de réorganisation, mise sous séquestre ou cession au profit des créanciers, ou l'application des lois ou des principes équitables affectant les droits des créanciers en général, nous pourrions ne pas être en mesure de contrôler la façon dont vos informations personnelles sont traitées, transférées ou utilisées.";;;;;;;;;;;;;;;;;;;;;;;;;;
Twitter;-;-;"« Dans le cas où Twitter fait l’objet d’une faillite ou est impliquée dans une fusion, une acquisition, une réorganisation ou une vente d’actifs, vos info
rmations sont susceptibles d’être vendues ou transférées dans le cadre de cette opération. »

Seul engagement sur l’application d’une même confidentialité sur infos transférées à la nouvelle entité. Pas d’information préalable.";;;;;;;;;;;;;;;;;;;;;;;;;;
