;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;;"Nous pouvons être amenés à utiliser les services de sous-traitants qui auront à traiter vos données. Ces sous-traitant s’engagent systématiquement à respecter les dispositions de la loi Informatique et Libertés, et ne traitent les données que pour réaliser les opérations que nous leur déléguons.

Toute autre transmission de ces données à des sociétés tierces est soumise à votre consentement obligatoire.
Nous ne transmettons aucune donnée émanant de nos utilisateurs dans un pays situé en dehors de la Communauté européenne.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo Resto;;;           Allo Resto : Vos informations peuvent être consultées ou remis à notre personnel travaillant hors de France et à des Tiers, (ce qui semble naturel) y compris dans les entreprises au sein du groupe ALLO RESTO (ceci couvre nos filiales et sociétés affiliées, la société holding dont nous sommes filiale et ses filiales et sociétés affiliées) qui agissent pour nous aux fins énoncées dans la présente politique ou à d'autres fins qui serait notifiées ultérieurement. Dans les pays extérieurs à l'Espace économique européen, qui ne disposent pas toujours d’un encadrement juridique approprié, nous serons attentifs à la mise en œuvre des règles de protection des données telles qu’elles sont arrêtées par la CNIL.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom ;. Ces tiers sont obligés de protéger Vos Renseignements personnels conformément à la présente Charte de confidentialité. TomTom est et restera responsable de l'utilisation de Vos Renseignements personnels.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente privée;-;Vente privée pourra être amenée à transférer de manière sécurisée à des tiers, certaines données, notamment personnelles, pour assurer l'accomplissement de tâches nécessaires à l'exécution de commande (...). ;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;;"Les tiers sont soumis :
* à des obligations contractuelles de protection des données personnelles sans être soumis à la politique de confidentialité (pour les sociétés tierces ayant accès aux données pour la réalisation de services)
* à la politique de confidentialité du site (pour les sociétés tierces ayant accès à certaines plateformes du site à des fins marketing)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;;"Amazon.com Inc. et ses filiales pouvant avoir communication des données sont soumis à la politique de confidentialité ou doivent appliquer des règles “au moins aussi protectrices que celles” de la politique de confidentialité.
Idem pour les prestataires de services tiers (type : traitement des commandes, livraison des produits, gestion des fichiers clients…) qui ne peuvent en plus traiter les données que pour les besoins de l’exécution de leur prestation sans droit de réutilisation pour d’autres fins.";Pas d’engagement particulier pour les partenaires non contrôlés par Amazon et les autres sociétés tierces pouvant avoir accès aux données;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;"""Nous pouvons partager les données de recherches rendues anonymes avec certains tiers à des fins d'études. Mais, au préalable, nous supprimons, dans ces données, tous les identificateurs uniques tels que les adresses IP et les identificateurs de cookies""";"""En outre, nous exigeons des tiers avec qui nous avons partagé vos données qu'ils les sécurisent et ne les utilisent pas à d'autres fins. """;"""Lorsque vous utilisez un « Binglet » tiers au sein d'une application Bing, les informations que vous fournissez au Binglet sont partagées avec le tiers qui y est indiqué. Pour plus de détails sur les conditions de collecte et d'utilisation des informations par des tiers, consultez la politique de confidentialité sur leur site Web."" ""Nous autorisons aussi des compagnies publicitaires tierces, y compris d'autres réseaux publicitaires, à afficher des publicités sur nos sites. Dans certains cas, ces tiers peuvent également placer des cookies sur votre ordinateur et recueillir des informations sur vos activités en ligne sur des sites web ou des services en ligne. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;;;"""Certaines de nos offres peuvent être couvertes par deux marques, c'est-à-dire être financées par IBM et par des tiers. Si vous souscrivez à l'une de ces offres, sachez que les informations que vous nous communiquez peuvent également être recueillies par ces tiers ou partagées avec eux. Nous vous encourageons à vous informer sur la façon dont ils utiliseront vos informations"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LastPass;Communication des DP à des tiers « qui ont convenu de ne pas les divulguer à des tiers »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung;;Samsung veille à ce que le tiers n’utilise les DP que dans le but qu’il lui a spécifié et conformément aux objectifs définis dans le cadre de sa charte relative aux DP. Il veille aussi à  ce que le tiers ait pris les mesures de sécurité appropriées pour prévenir un traitement non autorisé ou illicite des DP ainsi qu’une perte ou une destruction accidentelle des DP.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
